sample_id,label,n_qubits,n_gates,circuit_depth,transpiled_depth,transpiled_gates,n_rotation_gates,n_cnot_gates,n_hadamard_gates,total_rotation_angle,max_rotation_angle,mean_rotation_angle,feature_variance,feature_std,feature_norm_l1,feature_norm_l2,fidelity_with_reference,entanglement_measure,amplitude_variance,phase_variance,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5
350,good,6,1,1,1,1,0,0,0,4.848556848748141,1.9395630337539331,0.8080928081246902,1.0290302856987499,1.014411300064599,4.848556848748141,2.484809902738219,0.05904792880509259,0.9689603687811251,0.0033050761570204293,3.188075390191463,-1.2915716650507707,-0.5388110972996472,1.9395630337539331,0.4968730149821544,-0.4283614932743785,-0.15337654438725806
351,bad,6,1,1,1,1,0,0,0,15.42854529619304,5.1803160276238875,2.5714242160321734,7.205563430087103,2.6843180568045777,15.42854529619304,7.810477921503856,0.0773275012101316,0.9726613337809088,0.003049147735928468,2.764644839203629,0.700091857918343,-0.5388110972996472,1.9395630337539331,-2.0125866566448884,5.1803160276238875,5.057176622952341
352,good,6,1,1,1,1,0,0,0,2.715302602185875,0.832869426116284,0.4525504336976458,0.25614204224447756,0.5061047739791411,2.715302602185875,1.2457242812875282,0.034429280196053264,0.9631339135327474,0.0037497397612677474,3.0881337025322186,0.832869426116284,-0.5388110972996472,-0.515580046947248,0.4968730149821544,0.1777924724532834,-0.15337654438725806
353,good,6,1,1,1,1,0,0,0,4.70767510503426,1.9249374589412838,0.7846125175057099,0.8348318169400479,0.9136913138144895,4.70767510503426,2.3558442630403857,0.03307633535612775,0.9649821871584486,0.003987500249699985,4.103897356684095,0.832869426116284,1.9249374589412838,-0.515580046947248,0.4968730149821544,-0.7840386136600314,-0.15337654438725806
354,good,6,1,1,1,1,0,0,0,2.745359823626916,0.832869426116284,0.457559970604486,0.2575482704573802,0.5074921383207628,2.745359823626916,1.2503680726011208,0.03764982487571486,0.9612860368499256,0.004075827380867136,3.278660841063683,0.832869426116284,-0.5388110972996472,-0.515580046947248,0.4968730149821544,0.20784969389432448,-0.15337654438725806
355,good,6,1,1,1,1,0,0,0,6.015685887947787,2.0125866566448884,1.0026143146579645,1.5081081822502307,1.2280505617645516,6.015685887947787,3.0182582443326935,0.012342926908328338,0.9699658196813437,0.003150250728167203,3.1936309484120775,0.832869426116284,-0.5388110972996472,1.9395630337539331,-2.0125866566448884,0.5384791297457764,-0.15337654438725806
356,good,6,1,1,1,1,0,0,0,4.239426646796011,1.9395630337539331,0.7065711077993352,0.5968836173335476,0.772582434005296,4.239426646796011,2.2225784017587427,0.0071742749889140735,0.9662392067317648,0.004085984934306741,3.392201165586015,0.5673142897204022,-0.5388110972996472,1.9395630337539331,0.4968730149821544,0.5434886666526166,-0.15337654438725806
357,good,6,1,1,1,1,0,0,0,3.0010516170009947,0.6687270893236211,0.5001752695001658,0.26549112647754797,0.5152583104400627,3.0010516170009947,1.2914063046741622,0.007231735905090135,0.96681263019287,0.003474543858069473,2.827129510475195,-0.6276838240610662,-0.5388110972996472,-0.515580046947248,0.4968730149821544,0.6687270893236211,-0.15337654438725806
358,good,6,1,1,1,1,0,0,0,2.795455192695318,0.832869426116284,0.465909198782553,0.2604496610349066,0.5103426898025547,2.795455192695318,1.2596644304080045,0.07062691799871569,0.9628523394402618,0.003890107657416021,3.138868579663453,0.832869426116284,-0.5388110972996472,-0.515580046947248,0.4968730149821544,0.2579450629627263,-0.15337654438725806
359,good,6,1,1,1,1,0,0,0,4.210978096221248,2.0125866566448884,0.7018296827035413,0.7533518476105897,0.8679584365685892,4.210978096221248,2.312731611367206,0.012830546801597413,0.9656919572752858,0.0033301737404442784,2.9730080066582403,0.832869426116284,-0.5388110972996472,-0.515580046947248,-2.0125866566448884,0.15775432482592266,-0.15337654438725806
